Time, s;Volts, V;Amps, A;Ah0;Wh0;Ah1;Wh1;W;Tc
0.062;5.13310;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
0.312;5.13310;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
0.499;5.13310;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
0.717;5.13310;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
0.904;5.13310;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
1.123;5.13310;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
1.310;5.13310;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
1.528;5.13310;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
1.716;5.13310;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
1.934;5.13310;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
2.121;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
2.308;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
2.527;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
2.714;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
2.933;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
3.120;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
3.369;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
3.525;5.13330;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
3.713;5.13330;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
3.962;5.13330;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
4.118;5.13330;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
4.368;5.13330;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
4.555;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
4.773;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
4.961;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
5.179;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
5.366;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
5.585;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
5.772;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
5.990;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
6.177;5.13320;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
6.396;5.13330;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
6.583;5.13330;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
6.770;5.13330;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
6.989;5.13330;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
7.176;5.13330;0.000000;0.0000;0.0000;0.1060;0.5370;0.0000;24.0
